id,view_1,view_2,view_3,view_4,view_5,class
3213e9e9da734c268db6bed4b76ea411.jpg,https://vision-images-store.s3.amazonaws.com/internship/zipper/view_1/3213e9e9da734c268db6bed4b76ea411.jpg,https://vision-images-store.s3.amazonaws.com/internship/zipper/view_2/3213e9e9da734c268db6bed4b76ea411.jpg,https://vision-images-store.s3.amazonaws.com/internship/zipper/view_3/3213e9e9da734c268db6bed4b76ea411.jpg,https://vision-images-store.s3.amazonaws.com/internship/zipper/view_4/3213e9e9da734c268db6bed4b76ea411.jpg,https://vision-images-store.s3.amazonaws.com/internship/zipper/view_5/3213e9e9da734c268db6bed4b76ea411.jpg,zipper
3a4e9c2704bb46afb5a43c3231974e04.jpg,https://vision-images-store.s3.amazonaws.com/internship/zipper/view_1/3a4e9c2704bb46afb5a43c3231974e04.jpg,https://vision-images-store.s3.amazonaws.com/internship/zipper/view_2/3a4e9c2704bb46afb5a43c3231974e04.jpg,https://vision-images-store.s3.amazonaws.com/internship/zipper/view_3/3a4e9c2704bb46afb5a43c3231974e04.jpg,https://vision-images-store.s3.amazonaws.com/internship/zipper/view_4/3a4e9c2704bb46afb5a43c3231974e04.jpg,https://vision-images-store.s3.amazonaws.com/internship/zipper/view_5/3a4e9c2704bb46afb5a43c3231974e04.jpg,zipper
48d93cb06ede452fbab83495a4ff17a6.jpg,https://vision-images-store.s3.amazonaws.com/internship/zipper/view_1/48d93cb06ede452fbab83495a4ff17a6.jpg,https://vision-images-store.s3.amazonaws.com/internship/zipper/view_2/48d93cb06ede452fbab83495a4ff17a6.jpg,https://vision-images-store.s3.amazonaws.com/internship/zipper/view_3/48d93cb06ede452fbab83495a4ff17a6.jpg,https://vision-images-store.s3.amazonaws.com/internship/zipper/view_4/48d93cb06ede452fbab83495a4ff17a6.jpg,https://vision-images-store.s3.amazonaws.com/internship/zipper/view_5/48d93cb06ede452fbab83495a4ff17a6.jpg,zipper
c7d91a112c6341eb84ed8e62ea4d6aa8.jpg,https://vision-images-store.s3.amazonaws.com/internship/zipper/view_1/c7d91a112c6341eb84ed8e62ea4d6aa8.jpg,https://vision-images-store.s3.amazonaws.com/internship/zipper/view_2/c7d91a112c6341eb84ed8e62ea4d6aa8.jpg,https://vision-images-store.s3.amazonaws.com/internship/zipper/view_3/c7d91a112c6341eb84ed8e62ea4d6aa8.jpg,https://vision-images-store.s3.amazonaws.com/internship/zipper/view_4/c7d91a112c6341eb84ed8e62ea4d6aa8.jpg,https://vision-images-store.s3.amazonaws.com/internship/zipper/view_5/c7d91a112c6341eb84ed8e62ea4d6aa8.jpg,zipper
5cb6f2cdd3a244af9d9640be6e65b4f0.jpg,https://vision-images-store.s3.amazonaws.com/internship/zipper/view_1/5cb6f2cdd3a244af9d9640be6e65b4f0.jpg,https://vision-images-store.s3.amazonaws.com/internship/zipper/view_2/5cb6f2cdd3a244af9d9640be6e65b4f0.jpg,https://vision-images-store.s3.amazonaws.com/internship/zipper/view_3/5cb6f2cdd3a244af9d9640be6e65b4f0.jpg,https://vision-images-store.s3.amazonaws.com/internship/zipper/view_4/5cb6f2cdd3a244af9d9640be6e65b4f0.jpg,https://vision-images-store.s3.amazonaws.com/internship/zipper/view_5/5cb6f2cdd3a244af9d9640be6e65b4f0.jpg,zipper
b5804b834f2945dabd87892df695f5b2.jpg,https://vision-images-store.s3.amazonaws.com/internship/zipper/view_1/b5804b834f2945dabd87892df695f5b2.jpg,https://vision-images-store.s3.amazonaws.com/internship/zipper/view_2/b5804b834f2945dabd87892df695f5b2.jpg,https://vision-images-store.s3.amazonaws.com/internship/zipper/view_3/b5804b834f2945dabd87892df695f5b2.jpg,https://vision-images-store.s3.amazonaws.com/internship/zipper/view_4/b5804b834f2945dabd87892df695f5b2.jpg,https://vision-images-store.s3.amazonaws.com/internship/zipper/view_5/b5804b834f2945dabd87892df695f5b2.jpg,zipper
c1a05e6fa0b24a2490b10b80760dae83.jpg,https://vision-images-store.s3.amazonaws.com/internship/zipper/view_1/c1a05e6fa0b24a2490b10b80760dae83.jpg,https://vision-images-store.s3.amazonaws.com/internship/zipper/view_2/c1a05e6fa0b24a2490b10b80760dae83.jpg,https://vision-images-store.s3.amazonaws.com/internship/zipper/view_3/c1a05e6fa0b24a2490b10b80760dae83.jpg,https://vision-images-store.s3.amazonaws.com/internship/zipper/view_4/c1a05e6fa0b24a2490b10b80760dae83.jpg,https://vision-images-store.s3.amazonaws.com/internship/zipper/view_5/c1a05e6fa0b24a2490b10b80760dae83.jpg,zipper
330f243e7791498aaec6829a5d264ae2.jpg,https://vision-images-store.s3.amazonaws.com/internship/zipper/view_1/330f243e7791498aaec6829a5d264ae2.jpg,https://vision-images-store.s3.amazonaws.com/internship/zipper/view_2/330f243e7791498aaec6829a5d264ae2.jpg,https://vision-images-store.s3.amazonaws.com/internship/zipper/view_3/330f243e7791498aaec6829a5d264ae2.jpg,https://vision-images-store.s3.amazonaws.com/internship/zipper/view_4/330f243e7791498aaec6829a5d264ae2.jpg,https://vision-images-store.s3.amazonaws.com/internship/zipper/view_5/330f243e7791498aaec6829a5d264ae2.jpg,zipper
9d0d2d72ad4c4531a7c1cf27290cc3c4.jpg,https://vision-images-store.s3.amazonaws.com/internship/zipper/view_1/9d0d2d72ad4c4531a7c1cf27290cc3c4.jpg,https://vision-images-store.s3.amazonaws.com/internship/zipper/view_2/9d0d2d72ad4c4531a7c1cf27290cc3c4.jpg,https://vision-images-store.s3.amazonaws.com/internship/zipper/view_3/9d0d2d72ad4c4531a7c1cf27290cc3c4.jpg,https://vision-images-store.s3.amazonaws.com/internship/zipper/view_4/9d0d2d72ad4c4531a7c1cf27290cc3c4.jpg,https://vision-images-store.s3.amazonaws.com/internship/zipper/view_5/9d0d2d72ad4c4531a7c1cf27290cc3c4.jpg,zipper
2beddd7cedd9463abdd92971c69d3d5d.jpg,https://vision-images-store.s3.amazonaws.com/internship/zipper/view_1/2beddd7cedd9463abdd92971c69d3d5d.jpg,https://vision-images-store.s3.amazonaws.com/internship/zipper/view_2/2beddd7cedd9463abdd92971c69d3d5d.jpg,https://vision-images-store.s3.amazonaws.com/internship/zipper/view_3/2beddd7cedd9463abdd92971c69d3d5d.jpg,https://vision-images-store.s3.amazonaws.com/internship/zipper/view_4/2beddd7cedd9463abdd92971c69d3d5d.jpg,https://vision-images-store.s3.amazonaws.com/internship/zipper/view_5/2beddd7cedd9463abdd92971c69d3d5d.jpg,zipper
